REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,sand,silt,clay,npp,temp,h2o,sat,soc,climate,Temperature,Moisture,texture,soil.class,State,MaizeNrate,MaizeYield,WheatNrate,WheatYield,SoybeanNrate,SoybeanYield
3,6,1,1779775,1,AL,Alabama,0,G4000,A,131174048583,4593327154,32.7396323,-86.8434593,47.6648917597765,25.7581180167598,26.5769902234637,5.18337008140607,6.2181333696376,0.311412559874231,0.438005985920656,29.0351981157697,Warm Moist,Warm,Moist,SaClLo,Sandy,Alabama,135.9713394,9251.931954,106.4989034,4828.615388,4.50039721,2622.785517
4,8,4,1779777,4,AZ,Arizona,0,G4000,A,294198551143,1027337603,34.2039355,-111.6063565,56.0816997465072,26.6029957510352,17.3153045024577,0.512168610904241,4.50709676291736,0.180052713019376,0.42362743387492,13.670866650297,Warm Dry,Warm,Dry,SaLo,Sandy,Arizona,197.5920007,13444.80207,264.7220015,6808.482199,,
3,7,5,68085,5,AR,Arkansas,0,G4000,A,134768872727,2962859592,34.8955256,-92.4446262,44.338597972973,27.1786317567568,28.4827702702703,3.73386284596211,3.54360635667234,0.317002307241027,0.437573578911859,27.4614148268829,Warm Moist,Warm,Moist,ClLo,Clayey,Arkansas,164.383261,11185.17147,79.800014,3618.098995,4.432955863,3315.469897
4,9,6,1779778,6,CA,California,0,G4000,A,403503931312,20463871877,37.1551773,-119.5434183,49.8731472840535,27.6827927979764,22.4440599179701,1.2234415014693,5.08831292525816,0.271902586888353,0.430430117679441,29.2570488575444,Warm Dry,Warm,Dry,Lo,Silty,California,156.8190481,10670.47783,109.139127,4948.322009,,
4,8,8,1779779,8,CO,Colorado,0,G4000,A,268422891711,1181621593,38.9938482,-105.5083165,40.9849474972124,37.885598475453,21.1294540273346,0.283799540769448,-3.39940711210717,0.192710414528847,0.422388711307138,34.9982445348393,Cool Dry,Cool,Dry,Lo,Silty,Colorado,141.2941634,8473.614748,29.69501323,2872.958905,,
1,1,9,1779780,9,CT,Connecticut,0,G4000,A,12542497068,1815617571,41.5798637,-72.7466572,62.3645833333334,24.4869791666667,13.1484375,1.76958896054162,-0.85062876281639,0.328105049000846,0.416930207146539,87.0900864071316,Cool Moist,Cool,Moist,SaLo,Sandy,Connecticut,,,,,,
3,5,10,1779781,10,DE,Delaware,0,G4000,A,5045925646,1399985648,38.9985661,-75.441644,52.24609375,28.9765625,18.77734375,2.65475013852119,0.878384920302779,0.342253763228655,0.422263965606689,85.7501482963562,Warm Moist,Warm,Moist,Lo,Silty,Delaware,158.1104991,10758.35235,103.2357058,4680.663384,5.100450171,2972.490253
3,5,12,294478,12,FL,Florida,0,G4000,A,138949136250,31361101223,28.4574302,-82.4091477,75.2763444767442,14.2752906976744,10.4483648255814,5.79044559442602,14.5461921691895,0.249058556500204,0.418085128074469,78.8181063863966,Warm Moist,Warm,Moist,SaLo,Sandy,Florida,141.1371433,9603.430047,54.1394147,2454.65824,4.183061509,2437.845513
3,5,13,1705317,13,GA,Georgia,0,G4000,A,149482048342,4422936154,32.6295789,-83.4235109,53.9289913366337,24.1909421410891,21.8800665222772,5.45573746567906,6.8082666125628,0.279945566512571,0.434109755601033,41.5989658856156,Warm Moist,Warm,Moist,SaClLo,Sandy,Georgia,203.3107115,10645.37082,72.97696448,3308.744806,4.234989169,2468.108423
4,8,16,1779783,16,ID,Idaho,0,G4000,A,214049787659,2391722557,44.3484222,-114.5588538,41.2566349637681,38.2473278985507,20.4960371376812,0.288794971592184,-3.22159603747769,0.247690822723983,0.421384070907814,41.5932063641755,Cool Dry,Cool,Dry,Lo,Silty,Idaho,187.4448858,12754.35938,133.3921814,5787.613374,,
